edad,educacion,credito_hipotecario,credito_consumo,duracion_llamada_seg,contactos_esta_campana,contactos_previos,resultado_campana_anterior,tasa_euribor,contrata
56.0,4.0,0.0,1.0,307.0,1.0,0.0,0.0,4.857,0
59.0,5.0,0.0,0.0,139.0,1.0,0.0,0.0,4.857,0
41.0,,0.0,0.0,217.0,1.0,0.0,0.0,4.857,0
57.0,1.0,1.0,0.0,293.0,1.0,0.0,0.0,4.857,0
46.0,2.0,1.0,1.0,440.0,1.0,0.0,0.0,4.857,0
41.0,4.0,1.0,0.0,181.0,1.0,0.0,0.0,4.857,0
58.0,6.0,1.0,0.0,366.0,1.0,0.0,0.0,4.857,0
57.0,6.0,1.0,1.0,616.0,1.0,0.0,0.0,4.857,0
60.0,4.0,0.0,0.0,253.0,1.0,0.0,0.0,4.857,0
53.0,5.0,0.0,0.0,179.0,1.0,0.0,0.0,4.857,0
51.0,3.0,1.0,0.0,812.0,1.0,0.0,0.0,4.857,0
41.0,2.0,0.0,0.0,200.0,1.0,0.0,0.0,4.857,0
55.0,6.0,0.0,0.0,349.0,1.0,0.0,0.0,4.857,0
31.0,4.0,0.0,0.0,246.0,1.0,0.0,0.0,4.857,0
34.0,4.0,1.0,0.0,188.0,2.0,0.0,0.0,4.857,0
33.0,3.0,0.0,0.0,545.0,1.0,0.0,0.0,4.857,0
45.0,5.0,1.0,0.0,221.0,1.0,0.0,0.0,4.857,0
44.0,2.0,0.0,0.0,257.0,1.0,0.0,0.0,4.857,0
49.0,1.0,0.0,0.0,55.0,3.0,0.0,0.0,4.857,0
54.0,,0.0,0.0,400.0,1.0,0.0,0.0,4.857,0
41.0,4.0,0.0,0.0,139.0,1.0,0.0,0.0,4.857,0
32.0,6.0,1.0,1.0,175.0,1.0,0.0,0.0,4.857,0
41.0,5.0,0.0,0.0,677.0,1.0,0.0,0.0,4.857,0
35.0,,1.0,0.0,267.0,1.0,0.0,0.0,4.857,0
52.0,6.0,0.0,0.0,185.0,1.0,0.0,0.0,4.857,0
38.0,4.0,1.0,0.0,73.0,1.0,0.0,0.0,4.857,0
51.0,1.0,1.0,0.0,87.0,1.0,0.0,0.0,4.857,0
43.0,4.0,0.0,1.0,181.0,1.0,0.0,0.0,4.857,0
36.0,6.0,1.0,0.0,233.0,3.0,0.0,0.0,4.857,0
39.0,4.0,1.0,0.0,356.0,2.0,0.0,0.0,4.857,0
35.0,6.0,1.0,1.0,217.0,1.0,0.0,0.0,4.857,0
30.0,,1.0,0.0,251.0,1.0,0.0,0.0,4.857,0
35.0,4.0,1.0,0.0,216.0,2.0,0.0,0.0,4.857,0
36.0,2.0,1.0,0.0,210.0,1.0,0.0,0.0,4.857,0
46.0,1.0,1.0,0.0,288.0,1.0,0.0,0.0,4.857,0
43.0,1.0,0.0,0.0,410.0,3.0,0.0,0.0,4.857,0
36.0,4.0,1.0,0.0,142.0,2.0,0.0,0.0,4.857,0
36.0,4.0,0.0,1.0,389.0,1.0,0.0,0.0,4.857,0
33.0,4.0,0.0,0.0,702.0,1.0,0.0,0.0,4.857,0
28.0,,0.0,0.0,408.0,2.0,0.0,0.0,4.857,0
58.0,3.0,1.0,0.0,179.0,2.0,0.0,0.0,4.857,0
45.0,3.0,0.0,1.0,46.0,1.0,0.0,0.0,4.857,0
40.0,1.0,0.0,0.0,58.0,3.0,0.0,0.0,4.857,0
49.0,3.0,0.0,0.0,152.0,1.0,0.0,0.0,4.857,0
32.0,4.0,0.0,0.0,611.0,2.0,0.0,0.0,4.857,0
49.0,4.0,1.0,1.0,110.0,2.0,0.0,0.0,4.857,0
51.0,5.0,0.0,0.0,118.0,3.0,0.0,0.0,4.857,0
47.0,2.0,0.0,0.0,92.0,2.0,0.0,0.0,4.857,0
42.0,3.0,1.0,0.0,189.0,2.0,0.0,0.0,4.857,0
44.0,2.0,0.0,0.0,55.0,2.0,0.0,0.0,4.857,0
45.0,1.0,1.0,0.0,164.0,2.0,0.0,0.0,4.857,0
27.0,6.0,0.0,0.0,106.0,2.0,0.0,0.0,4.857,0
42.0,3.0,0.0,0.0,173.0,2.0,0.0,0.0,4.857,0
43.0,4.0,1.0,0.0,241.0,2.0,0.0,0.0,4.857,0
36.0,4.0,1.0,1.0,402.0,3.0,0.0,0.0,4.857,0
32.0,4.0,1.0,0.0,158.0,3.0,0.0,0.0,4.857,0
57.0,1.0,0.0,0.0,164.0,2.0,0.0,0.0,4.857,0
48.0,2.0,0.0,0.0,174.0,3.0,0.0,0.0,4.857,0
55.0,5.0,0.0,0.0,113.0,2.0,0.0,0.0,4.857,0
38.0,6.0,0.0,0.0,195.0,2.0,0.0,0.0,4.857,0
38.0,4.0,1.0,0.0,347.0,3.0,0.0,0.0,4.857,0
43.0,6.0,0.0,0.0,404.0,4.0,0.0,0.0,4.857,0
41.0,4.0,1.0,0.0,102.0,1.0,0.0,0.0,4.857,0
49.0,3.0,1.0,0.0,64.0,1.0,0.0,0.0,4.857,0
41.0,2.0,1.0,0.0,278.0,1.0,0.0,0.0,4.857,0
59.0,1.0,1.0,1.0,318.0,1.0,0.0,0.0,4.857,0
48.0,2.0,1.0,1.0,501.0,4.0,0.0,0.0,4.857,0
44.0,4.0,1.0,0.0,1030.0,1.0,0.0,0.0,4.857,1
29.0,1.0,0.0,0.0,231.0,1.0,0.0,0.0,4.857,0
42.0,6.0,1.0,0.0,154.0,1.0,0.0,0.0,4.857,0
52.0,2.0,0.0,0.0,393.0,1.0,0.0,0.0,4.857,0
47.0,4.0,0.0,0.0,505.0,1.0,0.0,0.0,4.857,0
30.0,6.0,1.0,0.0,262.0,1.0,0.0,0.0,4.857,0
35.0,5.0,0.0,0.0,241.0,1.0,0.0,0.0,4.857,0
46.0,,1.0,0.0,149.0,1.0,0.0,0.0,4.857,0
57.0,1.0,0.0,0.0,101.0,1.0,0.0,0.0,4.857,0
28.0,3.0,1.0,0.0,354.0,1.0,0.0,0.0,4.857,0
48.0,1.0,1.0,0.0,112.0,1.0,0.0,0.0,4.857,0
57.0,5.0,1.0,0.0,699.0,3.0,0.0,0.0,4.857,0
42.0,5.0,,,529.0,1.0,0.0,0.0,4.857,0
43.0,5.0,1.0,0.0,310.0,1.0,0.0,0.0,4.857,0
29.0,6.0,1.0,0.0,379.0,1.0,0.0,0.0,4.857,0
44.0,3.0,0.0,0.0,472.0,1.0,0.0,0.0,4.857,0
59.0,,0.0,0.0,113.0,1.0,0.0,0.0,4.857,0
38.0,4.0,1.0,0.0,169.0,1.0,0.0,0.0,4.857,0
42.0,1.0,0.0,0.0,145.0,1.0,0.0,0.0,4.857,0
32.0,6.0,0.0,0.0,215.0,1.0,0.0,0.0,4.857,0
34.0,6.0,1.0,0.0,226.0,2.0,0.0,0.0,4.857,0
