edad,antiguedad_meses,plan,cargo_mensual,llamadas_soporte,fuga
19,36,Estándar,55,1,no
73,1,Básico,34,6,si
42,11,Básico,16,3,si
31,35,Básico,25,1,no
70,5,Básico,33,4,no
55,52,Estándar,45,0,no
53,2,Básico,28,2,si
71,65,Estándar,51,2,no
74,11,Básico,38,2,si
60,48,Básico,35,1,no
33,36,Básico,27,0,no
24,8,Premium,79,1,no
52,2,Básico,48,4,no
53,63,Premium,81,1,no
56,9,Básico,27,1,no
37,59,Estándar,48,2,no
71,70,Básico,27,1,no
31,34,Estándar,42,2,no
25,10,Estándar,69,4,no
53,53,Básico,26,0,no
33,35,Estándar,63,1,si
40,66,Estándar,68,0,no
50,15,Estándar,45,2,no
64,39,Premium,101,0,no
31,56,Básico,32,0,no
37,29,Básico,19,1,si
75,14,Estándar,56,1,no
75,65,Premium,78,0,no
33,35,Estándar,44,2,no
74,49,Básico,45,0,no
60,52,Básico,28,0,no
74,49,Básico,15,3,si
71,3,Básico,26,3,no
54,49,Premium,80,2,no
41,9,Estándar,46,1,no
45,35,Estándar,55,0,no
35,36,Básico,21,1,no
53,68,Básico,27,0,no
35,68,Estándar,32,2,no
36,61,Básico,17,1,no
33,16,Básico,22,2,no
34,11,Estándar,51,3,no
58,26,Estándar,44,1,no
49,57,Estándar,61,2,no
66,23,Básico,19,0,no
70,71,Premium,92,5,no
46,7,Estándar,59,3,no
25,20,Estándar,67,0,no
68,54,Básico,22,1,no
62,31,Premium,110,1,si
55,43,Estándar,69,0,no
72,69,Premium,66,2,no
73,13,Estándar,41,2,no
55,19,Básico,34,1,no
47,39,Estándar,58,0,si
49,37,Estándar,64,0,si
20,47,Estándar,55,0,no
39,15,Estándar,51,2,si
65,34,Básico,17,2,no
20,39,Básico,22,0,no
57,53,Premium,99,1,no
23,28,Premium,83,2,no
75,1,Básico,26,5,si
22,61,Básico,53,1,no
45,14,Premium,55,3,si
72,71,Estándar,56,0,no
71,11,Básico,33,1,no
40,14,Estándar,57,1,no
59,72,Estándar,78,1,no
31,49,Estándar,59,1,no
46,54,Estándar,53,2,no
38,16,Básico,43,4,no
54,55,Premium,67,1,no
37,44,Básico,24,1,no
27,10,Básico,36,2,si
35,8,Básico,42,3,no
20,58,Estándar,66,1,no
57,21,Estándar,48,1,no
56,20,Premium,78,0,no
