duracion_meses,monto_credito,edad,carga_cuota_pct,creditos_vigentes,cuenta_corriente,ahorros,historial_crediticio,incumplimiento
6.0,1169.0,67.0,4.0,2.0,1.0,0.0,4.0,0
48.0,5951.0,22.0,2.0,1.0,2.0,1.0,2.0,1
12.0,2096.0,49.0,2.0,1.0,0.0,1.0,4.0,0
42.0,7882.0,45.0,2.0,1.0,1.0,1.0,2.0,0
24.0,4870.0,53.0,3.0,2.0,1.0,1.0,3.0,1
36.0,9055.0,35.0,2.0,1.0,0.0,0.0,2.0,0
24.0,2835.0,53.0,3.0,1.0,0.0,3.0,2.0,0
36.0,6948.0,35.0,2.0,1.0,2.0,1.0,2.0,0
12.0,3059.0,61.0,2.0,1.0,0.0,4.0,2.0,0
30.0,5234.0,28.0,4.0,2.0,2.0,1.0,4.0,1
12.0,1295.0,25.0,3.0,1.0,2.0,1.0,2.0,1
48.0,4308.0,24.0,3.0,1.0,1.0,1.0,2.0,1
12.0,1567.0,22.0,1.0,1.0,2.0,1.0,2.0,0
24.0,1199.0,60.0,4.0,2.0,1.0,1.0,4.0,1
15.0,1403.0,28.0,2.0,1.0,1.0,1.0,2.0,0
24.0,1282.0,32.0,4.0,1.0,1.0,2.0,2.0,1
24.0,2424.0,53.0,4.0,2.0,0.0,0.0,4.0,0
30.0,8072.0,25.0,2.0,3.0,1.0,0.0,0.0,0
24.0,12579.0,44.0,4.0,1.0,2.0,1.0,2.0,1
24.0,3430.0,31.0,3.0,1.0,0.0,3.0,2.0,0
9.0,2134.0,48.0,4.0,3.0,0.0,1.0,4.0,0
6.0,2647.0,44.0,2.0,1.0,1.0,3.0,2.0,0
10.0,2241.0,48.0,1.0,2.0,1.0,1.0,4.0,0
12.0,1804.0,44.0,3.0,1.0,2.0,2.0,4.0,0
10.0,2069.0,26.0,2.0,2.0,0.0,0.0,4.0,0
6.0,1374.0,36.0,1.0,1.0,1.0,1.0,2.0,0
6.0,426.0,39.0,4.0,1.0,0.0,1.0,0.0,0
12.0,409.0,42.0,3.0,2.0,3.0,4.0,1.0,0
7.0,2415.0,34.0,3.0,1.0,2.0,1.0,2.0,0
60.0,6836.0,63.0,3.0,2.0,1.0,1.0,3.0,1
18.0,1913.0,36.0,3.0,1.0,2.0,4.0,2.0,0
24.0,4020.0,27.0,2.0,1.0,1.0,1.0,2.0,0
18.0,5866.0,30.0,2.0,2.0,2.0,2.0,2.0,0
12.0,1264.0,57.0,4.0,1.0,0.0,0.0,4.0,0
12.0,1474.0,33.0,4.0,1.0,3.0,1.0,2.0,0
45.0,4746.0,25.0,4.0,2.0,2.0,1.0,4.0,1
48.0,6110.0,31.0,1.0,1.0,0.0,1.0,4.0,0
18.0,2100.0,37.0,4.0,1.0,3.0,1.0,2.0,1
10.0,1225.0,37.0,2.0,1.0,3.0,1.0,2.0,0
9.0,458.0,24.0,4.0,1.0,2.0,1.0,2.0,0
30.0,2333.0,30.0,4.0,1.0,0.0,3.0,2.0,0
12.0,1158.0,26.0,3.0,1.0,2.0,3.0,2.0,0
18.0,6204.0,44.0,2.0,1.0,2.0,1.0,3.0,0
30.0,6187.0,24.0,1.0,2.0,1.0,2.0,4.0,0
48.0,6143.0,58.0,4.0,2.0,1.0,1.0,4.0,1
11.0,1393.0,35.0,4.0,2.0,0.0,1.0,4.0,0
36.0,2299.0,39.0,4.0,1.0,0.0,3.0,2.0,0
6.0,1352.0,23.0,1.0,1.0,1.0,3.0,2.0,0
11.0,7228.0,39.0,1.0,2.0,0.0,1.0,4.0,0
12.0,2073.0,28.0,4.0,1.0,0.0,2.0,2.0,0
24.0,2333.0,29.0,4.0,1.0,2.0,0.0,3.0,0
27.0,5965.0,30.0,1.0,2.0,2.0,1.0,3.0,0
12.0,1262.0,25.0,3.0,1.0,0.0,1.0,2.0,0
18.0,3378.0,31.0,2.0,1.0,0.0,0.0,2.0,0
36.0,2225.0,57.0,4.0,2.0,2.0,1.0,3.0,1
6.0,783.0,26.0,1.0,1.0,0.0,0.0,1.0,0
12.0,6468.0,52.0,2.0,1.0,2.0,0.0,2.0,1
36.0,9566.0,31.0,2.0,2.0,0.0,1.0,4.0,0
18.0,1961.0,23.0,3.0,1.0,3.0,1.0,2.0,0
36.0,6229.0,23.0,4.0,2.0,1.0,1.0,4.0,1
9.0,1391.0,27.0,2.0,1.0,2.0,1.0,2.0,0
15.0,1537.0,50.0,4.0,2.0,2.0,0.0,4.0,0
36.0,1953.0,61.0,4.0,1.0,2.0,1.0,0.0,1
48.0,14421.0,25.0,2.0,1.0,2.0,1.0,0.0,1
24.0,3181.0,26.0,4.0,1.0,0.0,1.0,2.0,0
27.0,5190.0,48.0,4.0,4.0,0.0,0.0,2.0,0
12.0,2171.0,29.0,2.0,1.0,0.0,1.0,2.0,0
12.0,1007.0,22.0,4.0,1.0,2.0,4.0,2.0,0
36.0,1819.0,37.0,4.0,1.0,0.0,1.0,2.0,1
36.0,2394.0,25.0,4.0,1.0,0.0,0.0,2.0,0
36.0,8133.0,30.0,1.0,1.0,0.0,1.0,2.0,0
7.0,730.0,46.0,4.0,2.0,0.0,0.0,4.0,0
8.0,1164.0,51.0,3.0,2.0,1.0,1.0,4.0,0
