latitud,longitud,area_construida,area_total,dormitorios,banos,estacionamiento,bodega,piscina,quincho,precio_uf,comuna,distancia_a_estacion_cercana,estacion_cercana,metro
-33.2860411,-70.8946749,50.0,120.0,3,1,No,No,No,No,1010.26,LAMPA,21898.81094,No metro,No
-33.280238,-70.885977,103.0,243.0,3,3,No,No,No,No,827.24,LAMPA,21316.06967,No metro,No
-33.280178,-70.885673,46.0,166.0,3,2,No,No,No,No,1144.0,LAMPA,21290.61472,No metro,No
-33.279629,-70.885345,103.0,90.0,5,2,Si,Si,Si,Si,741.235,LAMPA,21282.65947,No metro,No
-33.2809964,-70.8827818,70.0,90.0,3,1,Si,Si,Si,Si,888.615,LAMPA,20992.96901,No metro,No
-33.2870147,-70.8848462,50.0,129.0,3,1,No,No,No,No,789.4,LAMPA,20949.28525,No metro,No
-33.2828477,-70.8826475,76.0,73.0,3,1,Si,Si,Si,Si,888.615,LAMPA,20906.79794,No metro,No
-33.281844,-70.881747,50.0,72.0,3,1,Si,Si,Si,Si,942.47,LAMPA,20864.15511,No metro,No
-33.2845352,-70.8815088,51.0,130.0,3,1,Si,Si,Si,Si,1198.28,LAMPA,20735.78281,No metro,No
-33.2853156,-70.8809131,55.0,195.0,2,1,No,No,No,No,1149.55,LAMPA,20650.52718,No metro,No
-33.285384,-70.880893,55.0,195.0,3,2,No,No,No,No,1001.67,LAMPA,20646.01971,No metro,No
-33.293859,-70.882925,54.0,158.0,3,2,No,No,No,No,1219.66,LAMPA,20522.45294,No metro,No
-33.2887426,-70.8808469,112.0,114.0,5,1,,Si,Si,Si,1023.25,LAMPA,20513.75054,No metro,No
-33.2888013,-70.8807772,114.0,114.0,5,1,Si,Si,Si,Si,1023.25,LAMPA,20505.09064,No metro,No
-33.294134,-70.882359,54.0,152.0,3,1,No,No,No,No,1393.26,LAMPA,20459.81463,No metro,No
-33.2918707,-70.8805032,60.0,73.0,4,1,Si,Si,Si,Si,605.875,LAMPA,20366.7183,No metro,No
-33.2956779,-70.8817765,65.0,175.0,3,1,Si,Si,Si,Si,1475.0,LAMPA,20351.7503,No metro,No
-33.2918616,-70.879717,,82.0,4,1,Si,Si,Si,Si,740.51,LAMPA,20293.76584,No metro,No
-33.2917323,-70.8794871,70.0,85.0,4,1,Si,Si,Si,Si,605.875,LAMPA,20277.04483,No metro,No
-33.2978714,-70.881529,88.0,298.0,2,1,No,No,No,No,2010.25,LAMPA,20254.21197,No metro,No
-33.288346,-70.876965,49.0,146.0,2,1,No,No,No,No,1087.42,LAMPA,20169.42067,No metro,No
-33.2974561,-70.8782344,150.0,230.0,5,4,Si,Si,Si,Si,2261.925,LAMPA,19958.08422,No metro,No
-33.2988325,-70.8781478,89.0,325.0,4,3,,No,No,No,2588.21,LAMPA,19903.41853,No metro,No
-33.2921643,-70.8749214,51.0,103.0,3,1,Si,Si,Si,Si,1048.835,LAMPA,19836.44334,No metro,No
-33.299523,-70.8774719,75.0,181.0,3,2,Si,Si,Si,Si,1830.95,LAMPA,19816.64969,No metro,No
-33.299523,-70.8774719,75.0,181.0,3,2,Si,Si,Si,Si,1884.805,LAMPA,19816.64969,No metro,No
-33.289819,-70.871148,60.0,159.0,3,2,No,No,No,No,1345.31,LAMPA,19575.80704,No metro,No
-33.291606,-70.8712633,82.0,100.0,4,2,Si,Si,Si,Si,1050.0,LAMPA,19518.08821,No metro,No
-33.2975832,-70.8735198,80.0,200.0,4,2,Si,Si,Si,Si,1481.025,LAMPA,19511.10475,No metro,No
-33.297836,-70.87327,107.0,306.0,1,1,No,No,No,No,1631.21,LAMPA,19478.89298,No metro,No
-33.3004718,-70.8724661,100.0,220.0,2,3,Si,Si,Si,Si,2650.0,LAMPA,19313.19347,No metro,No
-33.297472,-70.870215,67.0,195.0,3,2,No,No,No,No,1533.57,LAMPA,19205.57357,No metro,No
-33.182001,-70.667551,79.0,166.0,3,1,No,No,No,No,499.3,COLINA,18494.22791,No metro,No
-33.185053,-70.6636323,49.0,80.0,2,1,Si,Si,Si,Si,1561.81,COLINA,18245.26516,No metro,No
-33.1840997,-70.6732471,43.0,111.0,2,1,No,No,No,No,557.13,COLINA,18222.94539,No metro,No
-33.1844298,-70.6732124,65.0,90.0,3,1,Si,Si,Si,Si,1804.15,COLINA,18190.41743,No metro,No
-33.186076,-70.6627352,64.0,104.0,3,2,Si,Si,Si,Si,1481.02,COLINA,18157.65183,No metro,No
-33.241348,-70.819568,141.0,300.0,4,2,Si,Si,Si,Si,1050.18,LAMPA,17900.73377,No metro,No
-33.6127672,-70.9030806,85.0,214.0,4,2,No,No,No,No,1889.04,PENAFLOR,17862.08865,No metro,No
-33.606694,-70.906166,61.0,167.0,3,2,No,No,No,No,1583.2,PENAFLOR,17777.73746,No metro,No
-33.1896222,-70.6740851,46.0,112.0,2,1,Si,Si,Si,Si,1884.94,COLINA,17665.25004,No metro,No
-33.6132553,-70.8996141,80.0,90.0,3,2,Si,Si,Si,Si,2342.71,PENAFLOR,17608.29868,No metro,No
-33.6054921,-70.9048246,110.0,220.0,4,3,Si,Si,Si,Si,4700.0,PENAFLOR,17599.82089,No metro,No
-33.6054921,-70.9048246,110.0,220.0,4,3,Si,Si,Si,Si,4700.0,PENAFLOR,17599.82089,No metro,No
-33.6054921,-70.9048246,110.0,220.0,4,3,Si,Si,Si,Si,4700.0,PENAFLOR,17599.82089,No metro,No
-33.230163,-70.802495,41.0,119.0,2,1,No,No,No,No,407.39,LAMPA,17559.65063,No metro,No
-33.613059,-70.896783,108.0,264.0,3,2,No,No,No,No,1782.22,PENAFLOR,17368.1317,No metro,No
-33.6119978,-70.8969611,115.0,168.0,4,3,Si,Si,Si,Si,4200.0,PENAFLOR,17319.7508,No metro,No
-33.192623,-70.681124,51.0,143.0,3,1,No,No,No,No,1185.9,COLINA,17313.71142,No metro,No
-33.197292,-70.650845,94.0,345.0,3,2,,Si,Si,Si,5990.0,COLINA,17284.46297,No metro,No
-33.193009,-70.680291,134.0,134.0,2,2,Si,Si,Si,Si,2590.0,COLINA,17279.94429,No metro,No
-33.19758,-70.65059,100.0,280.0,3,2,,Si,Si,Si,6500.0,COLINA,17262.33091,No metro,No
