unique_id,ds,y
internacional,2010-01-01,276185
internacional,2010-02-01,216808
internacional,2010-03-01,151591
internacional,2010-04-01,172548
internacional,2010-05-01,181973
internacional,2010-06-01,173438
internacional,2010-07-01,221231
internacional,2010-08-01,204076
internacional,2010-09-01,223844
internacional,2010-10-01,232565
internacional,2010-11-01,220409
internacional,2010-12-01,240061
internacional,2011-01-01,300936
internacional,2011-02-01,267543
internacional,2011-03-01,238623
internacional,2011-04-01,221532
internacional,2011-05-01,214816
internacional,2011-06-01,198043
internacional,2011-07-01,278021
internacional,2011-08-01,241241
internacional,2011-09-01,243621
internacional,2011-10-01,247503
internacional,2011-11-01,235391
internacional,2011-12-01,276564
internacional,2012-01-01,345353
internacional,2012-02-01,320724
internacional,2012-03-01,275613
internacional,2012-04-01,275191
internacional,2012-05-01,261969
internacional,2012-06-01,252515
internacional,2012-07-01,289478
internacional,2012-08-01,265024
internacional,2012-09-01,267023
internacional,2012-10-01,282908
internacional,2012-11-01,258729
internacional,2012-12-01,293285
internacional,2013-01-01,349616
internacional,2013-02-01,321226
internacional,2013-03-01,289107
internacional,2013-04-01,277479
internacional,2013-05-01,263901
internacional,2013-06-01,255391
internacional,2013-07-01,302374
internacional,2013-08-01,270109
internacional,2013-09-01,272970
internacional,2013-10-01,282517
internacional,2013-11-01,263016
internacional,2013-12-01,291547
internacional,2014-01-01,356190
internacional,2014-02-01,314752
internacional,2014-03-01,299550
internacional,2014-04-01,272812
internacional,2014-05-01,286912
internacional,2014-06-01,271645
internacional,2014-07-01,316624
internacional,2014-08-01,314178
internacional,2014-09-01,299701
internacional,2014-10-01,310806
internacional,2014-11-01,289455
internacional,2014-12-01,325782
internacional,2015-01-01,400334
internacional,2015-02-01,349387
internacional,2015-03-01,319163
internacional,2015-04-01,311671
internacional,2015-05-01,320131
internacional,2015-06-01,298450
internacional,2015-07-01,365125
internacional,2015-08-01,345515
internacional,2015-09-01,327991
internacional,2015-10-01,344253
internacional,2015-11-01,335928
internacional,2015-12-01,367909
internacional,2016-01-01,430701
internacional,2016-02-01,391286
internacional,2016-03-01,353168
internacional,2016-04-01,341106
internacional,2016-05-01,354190
internacional,2016-06-01,342233
internacional,2016-07-01,417266
internacional,2016-08-01,392036
internacional,2016-09-01,377895
internacional,2016-10-01,398336
internacional,2016-11-01,362211
internacional,2016-12-01,426915
internacional,2017-01-01,517641
internacional,2017-02-01,441876
internacional,2017-03-01,420581
internacional,2017-04-01,405140
internacional,2017-05-01,405782
internacional,2017-06-01,389140
internacional,2017-07-01,483528
internacional,2017-08-01,448967
internacional,2017-09-01,432677
internacional,2017-10-01,460258
internacional,2017-11-01,416393
internacional,2017-12-01,473642
internacional,2018-01-01,554618
internacional,2018-02-01,493302
internacional,2018-03-01,452034
internacional,2018-04-01,432985
internacional,2018-05-01,426819
internacional,2018-06-01,395061
internacional,2018-07-01,498854
internacional,2018-08-01,447722
internacional,2018-09-01,432860
internacional,2018-10-01,453136
internacional,2018-11-01,425809
internacional,2018-12-01,490753
internacional,2019-01-01,572027
internacional,2019-02-01,495254
internacional,2019-03-01,489230
internacional,2019-04-01,447068
internacional,2019-05-01,447232
internacional,2019-06-01,419693
internacional,2019-07-01,503830
internacional,2019-08-01,463830
internacional,2019-09-01,434601
internacional,2019-10-01,419600
internacional,2019-11-01,382290
internacional,2019-12-01,463096
internacional,2020-01-01,543292
internacional,2020-02-01,474836
internacional,2020-03-01,254649
internacional,2020-04-01,5289
internacional,2020-05-01,5154
internacional,2020-06-01,7788
internacional,2020-07-01,11966
internacional,2020-08-01,12810
internacional,2020-09-01,17845
internacional,2020-10-01,37017
internacional,2020-11-01,56160
internacional,2020-12-01,110651
internacional,2021-01-01,101203
internacional,2021-02-01,84907
internacional,2021-03-01,78039
internacional,2021-04-01,22204
internacional,2021-05-01,19305
internacional,2021-06-01,30863
internacional,2021-07-01,44340
internacional,2021-08-01,82134
internacional,2021-09-01,93786
internacional,2021-10-01,122767
internacional,2021-11-01,164953
internacional,2021-12-01,238278
internacional,2022-01-01,248730
internacional,2022-02-01,218219
internacional,2022-03-01,229362
internacional,2022-04-01,252537
internacional,2022-05-01,271329
internacional,2022-06-01,256400
internacional,2022-07-01,330559
internacional,2022-08-01,302221
internacional,2022-09-01,308838
internacional,2022-10-01,344786
internacional,2022-11-01,346496
internacional,2022-12-01,395808
internacional,2023-01-01,453257
internacional,2023-02-01,407640
internacional,2023-03-01,382609
internacional,2023-04-01,361157
internacional,2023-05-01,351068
internacional,2023-06-01,374981
internacional,2023-07-01,426391
internacional,2023-08-01,413031
internacional,2023-09-01,407071
internacional,2023-10-01,423978
internacional,2023-11-01,437103
internacional,2023-12-01,483207
internacional,2024-01-01,559809
internacional,2024-02-01,505071
internacional,2024-03-01,473159
internacional,2024-04-01,425437
internacional,2024-05-01,425597
internacional,2024-06-01,467645
internacional,2024-07-01,532191
internacional,2024-08-01,520000
internacional,2024-09-01,501768
internacional,2024-10-01,504934
internacional,2024-11-01,481147
internacional,2024-12-01,566391
internacional,2025-01-01,649673
internacional,2025-02-01,561295
internacional,2025-03-01,526037
internacional,2025-04-01,448362
internacional,2025-05-01,444764
internacional,2025-06-01,472862
internacional,2025-07-01,555420
internacional,2025-08-01,532290
internacional,2025-09-01,482704
internacional,2025-10-01,467949
internacional,2025-11-01,458069
internacional,2025-12-01,577411
nacional,2010-01-01,283745
nacional,2010-02-01,247878
nacional,2010-03-01,166645
nacional,2010-04-01,209931
nacional,2010-05-01,226524
nacional,2010-06-01,214715
nacional,2010-07-01,264102
nacional,2010-08-01,258781
nacional,2010-09-01,250102
nacional,2010-10-01,280393
nacional,2010-11-01,299770
nacional,2010-12-01,295284
nacional,2011-01-01,336075
nacional,2011-02-01,311274
nacional,2011-03-01,276504
nacional,2011-04-01,261827
nacional,2011-05-01,265778
nacional,2011-06-01,250062
nacional,2011-07-01,293675
nacional,2011-08-01,276631
nacional,2011-09-01,285294
nacional,2011-10-01,311346
nacional,2011-11-01,331817
nacional,2011-12-01,324586
nacional,2012-01-01,390463
nacional,2012-02-01,370506
nacional,2012-03-01,317996
nacional,2012-04-01,311792
